animal_name,scientific_name,location
African Spurred Tortoise,Centrochelys sulcata,"Zoosiana - Broussard, LA, USA"
Babydoll Southdown Sheep,Ovis aries,"Zoosiana - Broussard, LA, USA"
Ball Python,Python regius,"Zoosiana - Broussard, LA, USA"
Binturong,Arctictis binturong,"Zoosiana - Broussard, LA, USA"
Blackbuck (male),Antilope cervicapra,"Zoosiana - Broussard, LA, USA"
Domestic Goat,Capra hircus,"Zoosiana - Broussard, LA, USA"
Domestic Sheep (juvenile),Ovis aries,"Zoosiana - Broussard, LA, USA"
Dromedary Camel,Camelus dromedarius,"Zoosiana - Broussard, LA, USA"
Ellipsen Waterbuck,Kobus ellipsiprymnus,"Zoosiana - Broussard, LA, USA"
Giraffe,Giraffa camelopardalis,"Zoosiana - Broussard, LA, USA"
Grant's Zebra,Equus quagga boehmi,"Zoosiana - Broussard, LA, USA"
Greater Rhea,Rhea americana,"Zoosiana - Broussard, LA, USA"
Green Iguana,Iguana iguana,"Zoosiana - Broussard, LA, USA"
Indian Peafowl (white female),Pavo cristatus,"Zoosiana - Broussard, LA, USA"
Llama,Lama glama,"Zoosiana - Broussard, LA, USA"
Patagonian Cavy,Dolichotis patagonum,"Zoosiana - Broussard, LA, USA"
Sandhill Crane,Antigone canadensis,"Zoosiana - Broussard, LA, USA"
Scarlet Macaw,Ara macao,"Zoosiana - Broussard, LA, USA"
Southern Pochard (female),Netta erythrophthalma,"Zoosiana - Broussard, LA, USA"
Tiger (white),Panthera tigris,"Zoosiana - Broussard, LA, USA"
Yellow Anaconda,Eunectes notaeus,"Zoosiana - Broussard, LA, USA"
