"schema","uuid","id","title","abstract","category","metadatacreationdate","date-publication","keyword","keyword-geonetwork.thesaurus.external.place.regions","contact-originator","geoBox","LegalConstraints","link","format","image","contact-pointOfContact","date-creation","date-revision","contact-resourceProvider","keyword-1","keyword-2","keyword-3","contact-principalInvestigator","contact-custodian","contact-owner","contact-publisher","contact-distributor","keyword-4","keyword-5","keyword-6","keyword-7","contact-author","contact-"
"iso19139","ed7df42e-6196-4823-b42c-36d1df3995f7","59451","Number of rainy days in a month (Litani River Basin, Lebanon - Monthly - 100m)","Number of rainy days calculated in the Litani River Basin area. For every pixel, the number of rainy days in a month is reported. This dataset is created by using daily rainfall data from the Climate Hazards Group InfraRed Precipitation with Station data (CHIRPS).","dataset","2022-05-31T08:01:24","2019-06","Water Accounting###Water###precipitation###WaPOR###WaPOR_2_Basin###WA+###Monthly###Africa and Near East###Litani River Basin###Lebanon","Asia","IHE-Delft/ b.tran@un-ihe.org","35.20###36.40###33.09###34.06","license###Creative Commons Attribution-NonCommercial-ShareAlike 3.0 IGO (CC BY-NC- SA 3.0 IGO)","https://io.apps.fao.org/geoserver/wms/WATER/LBN_LIT_NRD/v2?request=GetCapabilities&service=WMS&version=1.1.1","netCDF","","","","","","","","","","","","","","","","","","",""
"iso19139","2df7ab30-4d0f-4794-bd54-5aa11b7ceecc","48569","Actual EvapoTranspiration and Interception (Bekaa, Lebanon - Monthly - 30m)","The actual EvapoTranspiration and Interception (ETIa) is the sum of the soil evaporation (E), canopy transpiration (T), and evaporation from rainfall intercepted by leaves (I). The value of each pixel represents the ETIa in a given month. The data is provided in near real time from January 2009 to present.","dataset","2022-02-01T16:20:47","2020-01-01","Water###WaPOR###WaPOR_2###WaPOR_2_Subnational###Autogenerated###Monthly###Africa and Near East###Lebanon###Bekaa","Africa","FAO-UN/ wapor@fao.org","35.10###36.604###33.056###34.688","copyright###license###Creative Commons Attribution-NonCommercial-ShareAlike 4.0 International (CC BY-NC-SA 4.0)","https://io.apps.fao.org/geoserver/wms/WAPOR_2/L3_BKA_AETI_M/v2?service=WMS&version=1.3.0&request=GetCapabilities###https://WaPOR.apps.fao.org/catalog/WaPOR_2/3/L3_BKA_AETI_M","TIF","https://io.apps.fao.org/geoserver/wms/reflect?layers=WAPOR_2:l3_bka_aeti_m","","","","","","","","","","","","","","","","","",""
"iso19139","03909328-ce0b-482d-abae-ac590191dd55","37691","Annual Tropical Nights (RCM Ensemble for reference period)","RICCAR, MENA Region - TR - Annual Tropical Nights (RCM Ensemble for reference period) This raster dataset provides a representation of Annual TR - Annual Tropical Nights (number of days when daily minimum temperature > 20ºC) in the Middle East and North Africa Region. The Regional Climate Model (RCM) ensemble adopts the time periods generally used by the Intergovernmental Panel for Climate Change (IPCC) and other regional climate modelling experiments. It runs climate simulations based on three future time periods that are compared with a historical reference period. Available for 1986-2005 reference period, the 50km pixel resolution raster grids are generated for Moderate and High representative concentration pathways (RCPs), climate change scenarios developed by the IPCC for informing global and regional climate modelling work: RCP4.5 and RCP8.5.","dataset","2020-12-02T12:55:07","2019-07-20","Climate###Tropical nights###RICCAR###Climate change###MENA - Middle East and North Africa###Arab Region","","/","-26.61999989###75.46001339###-6.81999993###45.10000682","copyright###otherRestictions###","https://rkh.apps.fao.org/catalog/RICCAR/1/RCM_TRA_RP###https://io.apps.fao.org/geoserver/wms/RICCAR/RCM_TMAXA_RP/v2?VERSION=1.1.1","GeoTIFF","https://data.apps.fao.org/map/catalog/srv/api/records/03909328-ce0b-482d-abae-ac590191dd55/attachments/rcm_tra_rp.png","","","","","","","","","","","","","","","","","",""
"iso19139","3867a9a5-2a39-4cd5-831c-c52f4856247a","48596","Net Primary Production (Gezira, Sudan - Dekadal - 30m)","Net Primary Production (NPP) is a fundamental characteristic of an ecosystem, expressing the conversion of carbon dioxide into biomass driven by photosynthesis. The pixel value represents the mean daily NPP for that specific dekad. The data is provided in near real time from January 2009 to present.","dataset","2022-02-01T10:52:23","2020-01-01","Water###WaPOR###WaPOR_2###WaPOR_2_Subnational###Autogenerated###Dekadal###Africa and Near East###Sudan###Gezira","Africa","FAO-UN/ wapor@fao.org","563700.00###516000.00###1566900.00###1598100.00","copyright###license###Creative Commons Attribution-NonCommercial-ShareAlike 4.0 International (CC BY-NC-SA 4.0)","https://io.apps.fao.org/geoserver/wms/WAPOR_2/L3_GEZ_NPP_D/v2?service=WMS&version=1.3.0&request=GetCapabilities###https://WaPOR.apps.fao.org/catalog/WaPOR_2/3/L3_GEZ_NPP_D","TIF","https://io.apps.fao.org/geoserver/wms/reflect?layers=WAPOR_2:l3_gez_npp_d","","","","","","","","","","","","","","","","","",""
"iso19139","f706eaa2-a011-4e80-9df1-73831a27122a","61288","Interception (Yanze catchment, Rwanda - Annual - 30m)","Interception is the process where rainfall is captured by the leaves. Part of this captured rainfall will evaporate again. The Interception (I) data component represents the evaporation of intercepted rainfall from the vegetation canopy. The value of each pixel represents the total annual interception for that specific year. The data is provided in near real time from January 2015 to present.","dataset","2022-02-01T10:41:42","2021-01-01","Water###WaPOR###WaPOR_2###WaPOR_2_Subnational###Annual###Africa and Near East###Rwanda###Yanze","Africa","FAO-UN/ wapor@fao.org","29.90###30.00###-1.94###-1.74","copyright###license###Creative Commons Attribution-NonCommercial-ShareAlike 4.0 International (CC BY-NC-SA 4.0)","https://io.apps.fao.org/geoserver/wms/WAPOR_2/L3_YAN_I_A/v2?service=WMS&version=1.3.0&request=GetCapabilities###https://WaPOR.apps.fao.org/catalog/WaPOR_2/3/L3_YAN_I_A","TIF","https://data.apps.fao.org:/map/catalog/srv/api/records/f706eaa2-a011-4e80-9df1-73831a27122a/attachments/thumbnail6913306944084193193.png","","","","","","","","","","","","","","","","","",""
"iso19139","650b6f18-34a2-4916-9f63-0432791b0012","37579","RICCAR, MENA Region - SU35 - Annual Hot Days (GCM, 1951 to 2100)","This raster dataset provides a representation of the index annual SU35 - Annual number of days when daily maximum temperature > 35ºC - for the Middle East and North Africa Region from 1951 to 2100. The climate change projections use global climate models/global circulation models (GCMs). These are numerical models that combine physical processes on the land surface and in the ocean, atmosphere and cryosphere to simulate the response of the global climate system to increasing greenhouse-gas concentrations. The 50km pixel resolution raster grids are provided for three of the four representative concentration pathways (RCPs) developed by IPCC for informing global and regional climate modelling work namely, low, moderate and high (RCP2.6 /4.5 /8.5) and generated using GCMs: - CNRM-CM5 System Model; - EC-EARTH System Model; - NOAA-GFDL-GFDL-ESM2M System Model.","dataset","2020-12-02T16:28:54","2019-07-20","Climate###Hot days###RICCAR###Climate change###MENA - Middle East and North Africa###Arab Region","","/","-26.61999989###75.46001339###-6.81999993###45.10000682","copyright###otherRestictions###","https://rkh.apps.fao.org/catalog/1/ECI_SU35A###https://io.apps.fao.org/geoserver/wms/RICCAR/ECI_SU35A/v2?service=WMS&version=1.3.0&request=GetCapabilities","GeoTIFF","https://data.apps.fao.org/map/catalog/srv/api/records/650b6f18-34a2-4916-9f63-0432791b0012/attachments/eci_sus_35a_1.png###https://data.apps.fao.org/map/catalog/srv/api/records/650b6f18-34a2-4916-9f63-0432791b0012/attachments/eci_sus_35A.png","","","","","","","","","","","","","","","","","",""
"iso19139","b312218d-9ae6-4abe-9f45-d0aed85c34c8","37632","RICCAR, MENA Region - ET - Change in Annual Evapotranspiration (VIC RHM Ensemble for near-,mid-,end-century)","This raster dataset provides a representation of the change in Annual Evapotranspiration in the Middle East and North Africa Region. Bias-corrected Regional Climate Models (RCM) results serve as inputs for the generation of the Regional Hydrological Model (RHM) ensemble that uses open-source hydrological model VIC (Variable Infiltration Capacity). The RHM is applied to assess hydrological change using future climate projections and can accommodate large datasets spanning timescales exceeding 100 years. The RHM ensemble adopts the time periods used by the Intergovernmental Panel for Climate Change (IPCC) and other regional climate modelling experiments. It runs climate simulations based on three future time periods that are compared with a historical reference period. Available at 0,25 degree (approx. 28km) pixel resolution, for future time periods; Near, Mid and End-century, the raster grids are generated for moderate and high representative concentration pathways (RCPs), climate change scenarios developed by the IPCC for informing global and regional climate modelling work (RCP4.5 and RCP8.5). The adopted time periods are: Near-Century (2016-2035); Mid-Century (2046-2065); End-Century (2081-2100).","dataset","2019-07-31T13:48:28","2019-07-20","Hydrology###Evapotranspiration###RICCAR###Climate change###MENA - Middle East North Africa###Arab Region","","/","-17.54583359###59.95416641###-5.60000038###41.89999962","copyright###otherRestictions###","https://rkh.apps.fao.org/catalog/2/ETAF###https://io.apps.fao.org/geoserver/wms","GeoTIFF","","","","","","","","","","","","","","","","","","",""
"iso19139","1f44e02f-4aa8-4ce6-8999-841ecf2fb6a6","60934","Total Biomass Production (Malwathu Oya West Sub Catchment, Sri Lanka - Seasonal - 30m)","Total Biomass Production (TBP) is defined as the sum of the above-ground dry matter produced during the course of the growing season. The seasonal value represents the total accumulated biomass during one growing season, from start of season (SOS) to end of season (EOS). A pixel value of -9997 denotes \"out of season\". The data is provided in near real time from January 2015 to present.","dataset","2022-02-01T10:49:19","2021-01-01","Water###WaPOR###WaPOR_2###WaPOR_2_Subnational###Autogenerated###Seasonal###Asia###Sri Lanka###Malwathu Oya","Sri Lanka###Asia","FAO-UN/ wapor@fao.org","80.18###80.55###8.13###8.68","copyright###license###Creative Commons Attribution-NonCommercial-ShareAlike 4.0 International (CC BY-NC-SA 4.0)","https://io.apps.fao.org/geoserver/wms/WAPOR_2/L3_MAL_TBP_S/v2?service=WMS&version=1.3.0&request=GetCapabilities###https://WaPOR.apps.fao.org/catalog/WaPOR_2/3/L3_MAL_TBP_S","TIF","https://data.apps.fao.org:/map/catalog/srv/api/records/1f44e02f-4aa8-4ce6-8999-841ecf2fb6a6/attachments/thumbnail3899278537985551016.png","","","","","","","","","","","","","","","","","",""
"iso19139","ce76df27-17ae-4173-bea0-2b760eaea38b","37827","RICCAR: Vulnerability Hotspots - Biodiversity and Ecosystems (MENA Region - RCP85 - FF - ~1km)","Part of the Integrated Vulnerability Assessment in the Arab Region, this 1km pixel resolution raster dataset provides a representation of future change in vulnerability hotspots for the Biodiversity and Ecosystems sector, in the Middle East and North Africa Region. The raster grid was generated for End-Century (2081-2100) time period, for high emission scenario - representative concentration pathway (RCP8.5) - developed by the Intergovernmental Panel on Climate Change (IPCC). Pixel values were classified according to vulnerability level: class 10 the top 10%, class 20 top 20% and class 30 top 30%. Vulnerability is a concept used to express the complex interaction of climate change effects and the susceptibility of a system to its impacts. The integrated vulnerability assessment methodology is based on an understanding of vulnerability as a function of a system’s climate change exposure, sensitivity and adaptive capacity to cope with climate change effects, consistent with the approach put forward by the IPCC in its Fourth Assessment Report (AR4). It adopts the time periods generally used by the IPCC and other regional climate modelling experiments and runs climate simulations based on future time periods that are compared with a historical reference period.","dataset","2019-11-17T17:12:40","2019-08-24","Vulnerability###RICCAR###Climate change###Biodiversity and Ecosystems###MENA - Middle East North Africa###Arab Region","","/","-17.02862999###59.73803668###-1.62680624###37.38152708","copyright###otherRestictions###","https://io.apps.fao.org/gismgr/api/v1/RICCAR/VHS/wms?service=WMS&VERSION=1.1.1&request=GetCapabilities###https://data.apps.fao.org/static/data/RICCAR/MENA/Vulnerability%20Assessment/Biodiversity%20and%20Ecosystems/Hotspots/End-Century%20(2081-2100)/High%20(RCP85)/VHS_BE_FF_RCP85_Hotspots_Raster.zip###https://data.apps.fao.org/static/data/RICCAR/MENA/Vulnerability%20Assessment/Biodiversity%20and%20Ecosystems/Hotspots/End-Century%20(2081-2100)/High%20(RCP85)/VHS_BE_FF_RCP85_Hotspots.tif###https://data.apps.fao.org/static/data/RICCAR/MENA/Vulnerability%20Assessment/Biodiversity%20and%20Ecosystems/Hotspots/End-Century%20(2081-2100)/High%20(RCP85)/VHS_BE_FF_RCP85_Hotspots_Map.pdf###https://rkh.apps.fao.org/catalog/3/VHS###https://io.apps.fao.org/geoserver/wms","GeoTIFF","https://storage.googleapis.com/fao-maps-catalog-data/uuid/ce76df27-17ae-4173-bea0-2b760eaea38b/thumbnail/vhs_f.png","","","","","","","","","","","","","","","","","",""
"iso19139","0ac61c4f-84ee-465d-a6df-8bd869f3d922","48781","Actual EvapoTranspiration and Interception (Africa and Near East - Monthly - 250m)","The actual EvapoTranspiration and Interception (ETIa) is the sum of the soil evaporation (E), canopy transpiration (T), and evaporation from rainfall intercepted by leaves (I). The value of each pixel represents the ETIa in a given month. The data is provided in near real time from January 2009 to present.","dataset","2022-01-31T08:19:10","2020-01-01","Water###WaPOR###WaPOR_2###WaPOR_2_Continental###Autogenerated###Monthly###Africa and Near East","Africa","FAO-UN/ wapor@fao.org","65.0044644###-30.0044643###-40.0044644###40.0044643","copyright###license###Creative Commons Attribution-NonCommercial-ShareAlike 4.0 International (CC BY-NC-SA 4.0)","https://io.apps.fao.org/geoserver/wms/WAPOR_2/L1_AETI_M/v2?service=WMS&version=1.3.0&request=GetCapabilities###https://WaPOR.apps.fao.org/catalog/WaPOR_2/1/L1_AETI_M","TIF","https://io.apps.fao.org/geoserver/wms/reflect?layers=WAPOR_2:l1_aeti_m","","","","","","","","","","","","","","","","","",""
